Name,Population,Population Density,Median Age,Per Capita Income,Poverty Count,Poverty Rate,Total Area (square mi.)
"Los Angeles County, California",10098052.0,2125.4036414977354,36.2,32469.0,1589956.0,15.745175406108029,4751.1219999999985
"San Francisco County, California",870044.0,3751.9686058044763,38.2,64157.0,92979.0,10.686700902483093,231.89
